count,data
169, 398730  ms,  51908  mm,  -94  dBm 
170, 399182  ms,  50787  mm,  -97  dBm 
171, 399182  ms,  50787  mm,  -97  dBm 
172, 400051  ms,  48226  mm,  -99  dBm 
173, 400503  ms,  46866  mm,  -96  dBm 
174, 400956  ms,  45168  mm,  -94  dBm 
175, 401406  ms,  43456  mm,  -96  dBm 
176, 401857  ms,  41805  mm,  -93  dBm 
177, 0  ms,  0  mm,  0  dBm 
178, 402373  ms,  39816  mm,  -95  dBm 
179, 0  ms,  0  mm,  0  dBm 
180, 402887  ms,  37668  mm,  -97  dBm 
181, 403338  ms,  35857  mm,  -100  dBm 
182, 403783  ms,  34084  mm,  -98  dBm 
183, 404235  ms,  32396  mm,  -92  dBm 
184, 404719  ms,  30487  mm,  -92  dBm 
185, 0  ms,  0  mm,  0  dBm 
186, 405326  ms,  28161  mm,  -93  dBm 
187, 0  ms,  0  mm,  0  dBm 
188, 405841  ms,  26153  mm,  -90  dBm 
189, 406324  ms,  24216  mm,  -90  dBm 
190, 0  ms,  0  mm,  0  dBm 
191, 406886  ms,  21983  mm,  -88  dBm 
192, 0  ms,  0  mm,  0  dBm 
193, 0  ms,  0  mm,  0  dBm 
194, 407399  ms,  20005  mm,  -92  dBm 
195, 407850  ms,  18372  mm,  -87  dBm 
196, 408333  ms,  16515  mm,  -92  dBm 
197, 408779  ms,  14883  mm,  -85  dBm 
198, 409230  ms,  13275  mm,  -87  dBm 
199, 409680  ms,  11680  mm,  -88  dBm 
