count,data
215, 324443  ms,  2345  mm,  -80  dBm 
216, 324645  ms,  2294  mm,  -79  dBm 
217, 324878  ms,  2284  mm,  -79  dBm 
218, 325079  ms,  2298  mm,  -79  dBm 
219, 325327  ms,  2298  mm,  -79  dBm 
220, 325529  ms,  2345  mm,  -80  dBm 
221, 325731  ms,  2312  mm,  -79  dBm 
222, 325933  ms,  2294  mm,  -79  dBm 
223, 326134  ms,  2350  mm,  -79  dBm 
224, 326337  ms,  2322  mm,  -80  dBm 
225, 326539  ms,  2303  mm,  -80  dBm 
226, 326741  ms,  2317  mm,  -80  dBm 
227, 326974  ms,  2289  mm,  -78  dBm 
228, 327176  ms,  2341  mm,  -79  dBm 
229, 327502  ms,  2355  mm,  -80  dBm 
230, 327766  ms,  2331  mm,  -79  dBm 
231, 327968  ms,  2303  mm,  -79  dBm 
232, 328247  ms,  2341  mm,  -79  dBm 
233, 328447  ms,  2336  mm,  -79  dBm 
234, 328677  ms,  2312  mm,  -78  dBm 
235, 328894  ms,  2289  mm,  -79  dBm 
236, 329126  ms,  2280  mm,  -79  dBm 
237, 329359  ms,  2289  mm,  -79  dBm 
238, 329593  ms,  2359  mm,  -78  dBm 
239, 329794  ms,  2388  mm,  -78  dBm 
240, 330073  ms,  2294  mm,  -79  dBm 
241, 330384  ms,  2448  mm,  -82  dBm 
242, 330727  ms,  2505  mm,  -84  dBm 
243, 330958  ms,  2477  mm,  -81  dBm 
244, 331191  ms,  2509  mm,  -81  dBm 
245, 331393  ms,  2388  mm,  -86  dBm 
246, 0  ms,  0  mm,  0  dBm 
247, 331705  ms,  2556  mm,  -84  dBm 
248, 332061  ms,  2434  mm,  -80  dBm 
249, 332263  ms,  2500  mm,  -82  dBm 
250, 332465  ms,  2477  mm,  -83  dBm 
251, 332667  ms,  2439  mm,  -83  dBm 
252, 332900  ms,  2430  mm,  -82  dBm 
253, 333211  ms,  2434  mm,  -81  dBm 
254, 0  ms,  0  mm,  0  dBm 
255, 0  ms,  0  mm,  0  dBm 
